Reference area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
E07000219 Nuneaton and Bedworth,3.19634,2.95309,3.39287,3.70016,3.86461,4.31096,4.76986,5.66913,6.03369,6.05235,6.26621,5.56215,5.35027,5.42855,5.60904,5.47048
E07000218 North Warwickshire,4.00588,3.71086,3.77901,3.90659,3.89777,4.49383,4.90687,5.89133,6.0704,6.29362,6.33306,6.31696,5.71912,5.67897,5.41919,6.14393
E07000217 Woking,5.12135,4.57557,4.95158,5.91646,6.05825,6.7213,6.88103,7.76808,9.05907,9.0354,9.22983,8.82852,9.14321,9.59783,10.1601,9.91359
E07000216 Waverley,5.8162,6.7811,6.713,8.61588,8.56183,8.81823,10.2426,11.4282,11.1762,10.6814,11.3125,11.6269,9.13661,13.0429,12.2828,12.4039
E07000215 Tandridge,6.34494,6.87793,7.86523,8.09941,8.33259,9.05274,10.8017,11.4499,11.4537,11.3887,12.2481,11.7572,10.9348,11.8377,12.4406,13.0229
E07000214 Surrey Heath,4.47182,5.67156,5.69125,6.07255,6.53175,7.3396,8.30798,8.4121,9.01257,9.00166,9.80168,8.86143,7.86733,9.27391,9.55295,8.74542
E07000213 Spelthorne,4.56826,4.56752,4.58257,5.30476,6.1318,5.65268,6.85725,6.55969,6.70773,7.12572,8.48084,8.33406,7.58774,8.20683,7.9854,7.18063
E07000212 Runnymede,4.03903,5.3861,5.76147,6.26447,6.0393,6.95518,8.30265,8.12881,8.27442,7.99929,8.45274,8.20054,7.44938,7.73433,8.16285,7.37341
E07000211 Reigate and Banstead,4.58084,5.29936,5.67927,6.21318,6.9099,6.88843,7.92268,8.71839,8.94888,8.82208,8.57723,8.83021,7.90469,9.45706,8.52395,7.65303
E07000210 Mole Valley,5.60241,6.15208,6.47622,8.42948,8.28519,8.40129,8.73144,8.3179,9.68976,9.83509,9.97446,10.4773,7.81627,9.50788,9.43108,10.1514
